image_id,image_path,crop_type,disease_condition,disease_full_name,confidence_score,image_width,image_height,capture_date,location,weather_condition,severity_level
img_0001,images/tomato/Septoria_leaf_spot/0001.jpg,Tomato,Septoria_leaf_spot,Tomato___Septoria_leaf_spot,0.9615160181604325,512,512,2023-01-01 00:00:00.000000000,Lab_Setup,Sunny,Low
img_0002,images/tomato/Septoria_leaf_spot/0002.jpg,Tomato,Septoria_leaf_spot,Tomato___Septoria_leaf_spot,0.9124165853995028,512,512,2023-01-01 17:32:15.135135135,Farm_C,Rainy,Low
img_0003,images/apple/healthy/0003.jpg,Apple,healthy,Apple___healthy,0.8700013545090717,512,256,2023-01-02 11:04:30.270270270,Farm_A,Cloudy,None
img_0004,images/tomato/healthy/0004.jpg,Tomato,healthy,Tomato___healthy,0.9665419697120591,256,256,2023-01-03 04:36:45.405405405,Lab_Setup,Rainy,None
img_0005,images/tomato/Late_blight/0005.jpg,Tomato,Late_blight,Tomato___Late_blight,0.9364474113478803,256,256,2023-01-03 22:09:00.540540540,Farm_A,Rainy,Low
img_0006,images/apple/Apple_scab/0006.jpg,Apple,Apple_scab,Apple___Apple_scab,0.9234684524361745,512,256,2023-01-04 15:41:15.675675675,Lab_Setup,Rainy,Critical
img_0007,images/corn/healthy/0007.jpg,Corn,healthy,Corn___healthy,0.8626849008345949,256,512,2023-01-05 09:13:30.810810810,Lab_Setup,Humid,None
img_0008,images/apple/healthy/0008.jpg,Apple,healthy,Apple___healthy,0.9329380396406859,512,224,2023-01-06 02:45:45.945945945,Farm_C,Humid,None
img_0009,images/tomato/Late_blight/0009.jpg,Tomato,Late_blight,Tomato___Late_blight,0.913069895275736,256,224,2023-01-06 20:18:01.081081081,Lab_Setup,Cloudy,Medium
img_0010,images/potato/Early_blight/0010.jpg,Potato,Early_blight,Potato___Early_blight,0.8926459276842719,224,256,2023-01-07 13:50:16.216216216,Lab_Setup,Rainy,High
img_0011,images/corn/Northern_Leaf_Blight/0011.jpg,Corn,Northern_Leaf_Blight,Corn___Northern_Leaf_Blight,0.867085352878269,224,512,2023-01-08 07:22:31.351351351,Farm_C,Cloudy,Low
img_0012,images/apple/healthy/0012.jpg,Apple,healthy,Apple___healthy,0.8755130522903287,256,256,2023-01-09 00:54:46.486486486,Farm_B,Cloudy,None
img_0013,images/potato/Early_blight/0013.jpg,Potato,Early_blight,Potato___Early_blight,0.9294780458947988,224,512,2023-01-09 18:27:01.621621621,Farm_B,Cloudy,Critical
img_0014,images/apple/Black_rot/0014.jpg,Apple,Black_rot,Apple___Black_rot,0.905321033040254,256,512,2023-01-10 11:59:16.756756756,Lab_Setup,Humid,Critical
img_0015,images/corn/healthy/0015.jpg,Corn,healthy,Corn___healthy,0.8774376007386803,224,256,2023-01-11 05:31:31.891891891,Lab_Setup,Sunny,None
img_0016,images/corn/Gray_leaf_spot/0016.jpg,Corn,Gray_leaf_spot,Corn___Gray_leaf_spot,0.8879888644483455,224,256,2023-01-11 23:03:47.027027027,Farm_A,Rainy,Critical
img_0017,images/corn/Northern_Leaf_Blight/0017.jpg,Corn,Northern_Leaf_Blight,Corn___Northern_Leaf_Blight,0.8886398854831561,224,512,2023-01-12 16:36:02.162162162,Farm_A,Sunny,Low
img_0018,images/tomato/Septoria_leaf_spot/0018.jpg,Tomato,Septoria_leaf_spot,Tomato___Septoria_leaf_spot,0.9092762072988917,224,512,2023-01-13 10:08:17.297297297,Farm_C,Humid,Low
img_0019,images/tomato/healthy/0019.jpg,Tomato,healthy,Tomato___healthy,0.9520610035257382,224,512,2023-01-14 03:40:32.432432432,Farm_A,Cloudy,None
